Authors,Title,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Publisher
"Abeysinghe W., Hung C.-C., Bechikh S., Wang X., Rattani A.","Clustering algorithms on imbalanced data using the SMOTE technique for image segmentation",2018,,,,"17","22",,"10.1145/3264746.3264774","Kennesaw State University, Marietta, Georgia; Anyang Normal University, China; SMART Lab, University of Tunis, ISG-Campus, Tunisia","Abeysinghe, W., Kennesaw State University, Marietta, Georgia; Hung, C.-C., Anyang Normal University, China; Bechikh, S., SMART Lab, University of Tunis, ISG-Campus, Tunisia; Wang, X., Kennesaw State University, Marietta, Georgia; Rattani, A., Kennesaw State University, Marietta, Georgia","Imbalanced data is a critical problem in machine learning. Most imbalanced dataset consists of one or more classes, called the minority class, which do not have enough number of samples for the recognition. Many traditional classification algorithms are unable to recognize the minority class effectively. Clustering algorithms used for image segmentation may have a high accuracy; however, none of samples in the minority class is classified correctly. In this study, we use three approaches, traditional oversampling technique, traditional undersampling technique, and the Synthetic Minority Over-sampling Technique (SMOTE), to reduce the significant difference of imbalance of the number of samples between the majority classes and the minority classes in the dataset. Fuzzy C-means algorithm (FCM) and Possibilistic Clustering Algorithm (PCA) are used to segment the images in which the samples are generated using above sampling methods. Experimental results are evaluated using the Kappa Coefficient and Confusion matrix. Our evaluation shows that the oversampling, undersampling, and SMOTE techniques can improve the imbalanced image segmentation problem with a higher accuracy. © 2018 Association for Computing Machinery.","Image Segmentation; Imbalanced dataset; Oversampling; SMOTE; Undersampling","Association for Computing Machinery, Inc"
"Kumar L., Sureka A.","Aging Related Bug Prediction using Extreme Learning Machines",2018,,,"8487925","","",,"10.1109/INDICON.2017.8487925","NIT, Rourkela, India; Ashoka University, India","Kumar, L., NIT, Rourkela, India; Sureka, A., Ashoka University, India","Aging-Related Bugs (ARBs) occur in long running systems due to error conditions caused because of accumulation of problems such as memory leakage or unreleased files and locks. Aging-Related Bugs are hard to discover during software testing and also challenging to replicate. Automatic identification and prediction of aging related fault-prone files and classes in an object oriented system can help the software quality assurance team to optimize their testing efforts. In this paper, we present a study on the application of static source code metrics and machine learning techniques to predict aging related bugs. We conduct a series of experiments on publicly available dataset from two large open-source software systems: Linux and MySQL. Class imbalance and high dimensionality are the two main technical challenges in building effective predictors for aging related bugs. We investigate the application of five different feature selection techniques (OneR, Information Gain, Gain Ratio, RELEIF and Symmetric Uncertainty) for dimensionality reduction and SMOTE method to counter the effect of class imbalance in our proposed machine learning based solution approach. We apply Extreme Learning Machines (ELM) with three different kernels (linear, polynomial and RBF) and present experimental results which demonstarte the effectiveness of our approach. © 2017 IEEE.","Aging Related Bugs; Empirical Software Engineering and Measurement; Extreme Learning Machines; Feature Selection and Extraction Techniques; Imbalance Learning; Machine Learning; Predictive Modeling; Software Maintenance","Institute of Electrical and Electronics Engineers Inc."
"Zahid T.B., Mohiuddin S.I.","A fast resource efficient method for human action recognition",2018,,,,"1589","1595",,"10.1145/3267305.3267527","University of Dhaka, Bangladesh; Queen Mary, University of London, United Kingdom","Zahid, T.B., University of Dhaka, Bangladesh; Mohiuddin, S.I., Queen Mary, University of London, United Kingdom","This paper describes a simple yet resource efficient method to train and finally test a classifier based on “Sussex-Huawei Locomotion- Transportation (SHL) dataset” for ""Sussex-Huawei Locomotion-Transportation (SHL) recognition challenge”. Our team, “Maximum Analytics” placed special emphasis on simple feature design and fast training and recognition. The computational resources necessary for training a classifier based on the whole dataset was not present, therefore, an effective subset was chosen from the entire dataset. This approach also solved the class imbalance present in the initial dataset. Then we train the subset using popular machine learning algorithms. The maximum overall accuracy rate found is 82.8%. © 2018 Association for Computing Machinery.","Action recognition; Big data; Deep learning; Locomotion analysis; Machine learning; Pattern analysis; Signal processing","Association for Computing Machinery, Inc"
"Banerjee R., Bourla G., Chen S., Kashyap M., Purohit S.","Comparative Analysis of Machine Learning Algorithms through Credit Card Fraud Detection",2018,,,"9244782","","",,"10.1109/URTC45901.2018.9244782","Rutgers School of Engineering, East Brunswick High School, Piscataway, NJ, United States; Rutgers School of Engineering, Bridgewater-Raritan High School, Piscataway, NJ, United States; Academy for Health and Medical Sciences, Rutgers School of Engineering, Piscataway, NJ, United States","Banerjee, R., Rutgers School of Engineering, East Brunswick High School, Piscataway, NJ, United States; Bourla, G., Rutgers School of Engineering, East Brunswick High School, Piscataway, NJ, United States; Chen, S., Rutgers School of Engineering, Bridgewater-Raritan High School, Piscataway, NJ, United States; Kashyap, M., Rutgers School of Engineering, East Brunswick High School, Piscataway, NJ, United States; Purohit, S., Academy for Health and Medical Sciences, Rutgers School of Engineering, Piscataway, NJ, United States","With the increase of e-commerce and online transactions throughout the twenty-first century, credit card fraud is a serious and growing problem. Such malicious practices can affect millions of people across the world through identity theft and loss of money. Data science has emerged as a means of identifying fraudulent behavior. Contemporary methods rely on applying data mining techniques to skewed datasets with confidential attributes. This paper examines numerous classification models trained on a public dataset to analyze correlation of certain attributes with fraudulence. This paper also proposes better metrics for determining false negatives and measures the effectiveness of random sampling to diminish the imbalance of the dataset. Finally, this paper explains the best algorithms to utilize in datasets with high class imbalances. It was determined that the Support Vector Machine algorithm had the highest performance rate for detecting credit card fraud under realistic conditions. © 2018 IEEE.",,"Institute of Electrical and Electronics Engineers Inc."
"Xie Y., Zhang T.","Imbalanced Learning for Fault Diagnosis Problem of Rotating Machinery Based on Generative Adversarial Networks",2018,"2018-July",,"8483334","6017","6022",,"10.23919/ChiCC.2018.8483334","Department of Automation, School of Information Science and Technology, Tsinghua University, Beijing, 100084, China","Xie, Y., Department of Automation, School of Information Science and Technology, Tsinghua University, Beijing, 100084, China; Zhang, T., Department of Automation, School of Information Science and Technology, Tsinghua University, Beijing, 100084, China","Learning from imbalanced datasets has become a significant and challenging problem and gained much attention in machine learning and many aspects. Accumulated historical data collected from the working process of industrial machines are often imbalanced, which means the number of recorded observations in some classes are significantly scarcer than other classes. There are already various different methods addressing this problem, among which most strategies focus on generating similar data for the minority classes. Synthetic minority oversampling technique (SMOTE) is an important and valid algorithm, which generates synthetic samples along the line segment, and a great many of variations have been proposed and proved effective. Generative adversarial networks (GANs) were originally invented to generate images from an adversarial training process. While SMOTE approaches are based on local information, GAN methods learn from the overall class distribution. In this paper, we proposed a deep convolutional GAN (DC GAN) model to simulate the original distribution from minority classes and generate new data to solve the imbalance problem. To verify the effectiveness of proposed DCGAN model, we compare the performance against multiple different resampling algorithms. The results show that the quality of generated data using DCGAN is significantly better than other oversampling method and therefore the classification accuracy is superior for fault diagnosis. © 2018 Technical Committee on Control Theory, Chinese Association of Automation.","Fault diagnosis; Generative adversarial networks; Imbalanced dataset","IEEE Computer Society"
"Ravi K., Setlur S., Ravi V., Govindaraju V.","Article Citation Sentiment Analysis Using Deep Learning",2018,,,"8482054","78","85",,"10.1109/ICCI-CC.2018.8482054","School of Computer and Information Science, University of Hyderabad, Hyderabad, 500046, India; Center of Excellence in Analytics, Institute for Development and Research in Banking Technology, Castle Hills Road #1, Masab Tank, Hyderabad, 500057, India; Department of Computer Science and Engineering, University at Buffalo, Syny, United States","Ravi, K., School of Computer and Information Science, University of Hyderabad, Hyderabad, 500046, India, Center of Excellence in Analytics, Institute for Development and Research in Banking Technology, Castle Hills Road #1, Masab Tank, Hyderabad, 500057, India; Setlur, S., Department of Computer Science and Engineering, University at Buffalo, Syny, United States; Ravi, V., Center of Excellence in Analytics, Institute for Development and Research in Banking Technology, Castle Hills Road #1, Masab Tank, Hyderabad, 500057, India; Govindaraju, V., Department of Computer Science and Engineering, University at Buffalo, Syny, United States","We performed sentiment analysis on article citation sentences corpora bearing three polarities viz. positive, negative, and neutral. Due to scarcity of negative citation sentences, the dataset suffers from a huge class imbalance issue. To tackle this, we proposed an ensemble feature engineering method for deep learning, which uses embedding of text and its dependency relationships. The performance of deep learning models was compared with a support vector machine and logistic regression approach using bag of words. Experimental results show that deep learning can be used effectively for an imbalanced dataset by applying the proposed ensemble features. Statistical significance test indicates that one-hot supervised LSTM is statistically not different from the baseline methods for two datasets, one developed by us and the other taken from literature. © 2018 IEEE.","Citation Sentiment Analysis; Deep Learning; Machine Learning","Institute of Electrical and Electronics Engineers Inc."
"Naganjaneyulu S., Rao B.S.","A Novel Feature Selection Based Classification Algorithm for Real-Time Medical Disease Prediction",2018,,,"8482045","275","282",,"10.1109/ICCI-CC.2018.8482045","Lakireddy Bali Reddy College of Engineering, Dept of Information Technology, Mylavaram, Andhra Pradesh, India","Naganjaneyulu, S., Lakireddy Bali Reddy College of Engineering, Dept of Information Technology, Mylavaram, Andhra Pradesh, India; Rao, B.S., Lakireddy Bali Reddy College of Engineering, Dept of Information Technology, Mylavaram, Andhra Pradesh, India","In the current medical databases, feature extraction and disease prediction are the essential requirements to Chronic Obstructive Pulmonary Disease (COPD) and Alzheimer's diseases. Most of the medical databases have heterogeneous features with different levels of severity patterns. Feature extraction and classification of high risk patterns may have potential benefits for decision making. In the medical applications, data classification algorithms are used to detect the disease severity that can help in early prediction of new type of disease patterns. Also, machine learning algorithms are more accurate, high true positive rate and reliable for heterogeneous features. Traditional classification models such as Naïve Bayes, SVM, Feed forward neural networks, Regression models, etc are used to classify the homogeneous disease datasets with limited feature space. As the size of the Alzheimer's disease patterns and its categories are increasing, traditional data classification models are failed to process the disease patterns due to inconsistent, class imbalance, and sparsity issues, which may affect the disease prediction rate and error rate. Therefore, an efficient classification model for predicting the severity level of the heterogeneous feature types is essential with high true positivity and low error rate. In this paper, a novel feature selection based classification model is proposed to improve the disease classification rate and testing the new type of disease patterns for real-time patient disease prediction. In the proposed model, a novel probabilistic based feature selection measure for classification algorithm is designed and implemented for real-time patient disease prediction using the training datasets. Experimental results show that the proposed feature selection based classification algorithm is better than the traditional algorithms in terms of true positive rate, error rate and F-measure are concerned. © 2018 IEEE.","Alzheimer disease; Decision tree; Ensemble classification; Feature selection; SVM","Institute of Electrical and Electronics Engineers Inc."
"Khadijah, Kusumaningrum R., Endah S.N., Rismiyati","The Study of Synthetic Minority Over-sampling Technique (SMOTE) and Weighted Extreme Learning Machine for Handling Imbalance Problem on Multiclass Microarray classification",2018,,,"8621657","153","158",,"10.1109/ICICOS.2018.8621657","Departement of Informatics/Computer Sciences, Diponegoro University, Semarang, Indonesia","Khadijah, Departement of Informatics/Computer Sciences, Diponegoro University, Semarang, Indonesia; Kusumaningrum, R., Departement of Informatics/Computer Sciences, Diponegoro University, Semarang, Indonesia; Endah, S.N., Departement of Informatics/Computer Sciences, Diponegoro University, Semarang, Indonesia; Rismiyati, Departement of Informatics/Computer Sciences, Diponegoro University, Semarang, Indonesia","Microarray data classification has a great challenge due to number of samples which is much smaller compared to the number of genes. The problem is getting harder when the dataset has multiclass target and the number of samples in each class is not well distributed (which is called imbalance data distribution). In this research, two different approaches to handle imbalance data distribution are studied, they are SMOTE (based on data approach) and weighted ELM (based on algorithmic approach). To evaluate the performance of the proposed method, two public imbalanced multiclass microarray dataset are used, GCM (Global Cancer Map) and Subtypes-Leukemia dataset. The results of experiment show that the implementation of SMOTE and weighted ELM on GCM dataset have no significant effect in the classification performance. Different with the Subtypes-Leukemia dataset, the implementation of SMOTE and weighted ELM has improved the classification performance compared to the previous research. Generally, the results show that weighted ELM perform slightly better compared to SMOTE to increase the accuracy of the minority class. © 2018 IEEE.","classification; extreme learning machine; imbalanced dataset; microarray; SMOTE","Institute of Electrical and Electronics Engineers Inc."
"Sarker A., Belousov M., Friedrichs J., Hakala K., Kiritchenko S., Mehryary F., Han S., Tran T., Rios A., Kavuluru R., De Bruijn B., Ginter F., Mahata D., Mohammad S.M., Nenadic G., Gonzalez-Hernandez G.","Data and systems for medication-related text classification and concept normalization from Twitter: Insights from the Social Media Mining for Health (SMM4H)-2017 shared task",2018,"25","10",,"1274","1283",,"10.1093/jamia/ocy114","Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania, 423 Guardian Drive 421A, Philadelphia, PA  19104, United States; School of Computer Science, University of Manchester, Manchester, United Kingdom; Infosys Limited, Palo Alto, CA, United States; Turku NLP Group, Department of Future Technologies, University of Turku, Turku, Finland; University of Turku Graduate School, University of Turku, Turku, Finland; Digital Technologies Research Centre, National Research Council Canada, Ottawa, Canada; Department of Computer Science, University of Kentucky, Lexington, KY, United States; Division of Biomedical Informatics, Department of Internal Medicine, University of Kentucky, Lexington, KY, United States; Bloomberg, New York, NY, United States","Sarker, A., Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania, 423 Guardian Drive 421A, Philadelphia, PA  19104, United States; Belousov, M., School of Computer Science, University of Manchester, Manchester, United Kingdom; Friedrichs, J., Infosys Limited, Palo Alto, CA, United States; Hakala, K., Turku NLP Group, Department of Future Technologies, University of Turku, Turku, Finland, University of Turku Graduate School, University of Turku, Turku, Finland; Kiritchenko, S., Digital Technologies Research Centre, National Research Council Canada, Ottawa, Canada; Mehryary, F., Turku NLP Group, Department of Future Technologies, University of Turku, Turku, Finland, University of Turku Graduate School, University of Turku, Turku, Finland; Han, S., Department of Computer Science, University of Kentucky, Lexington, KY, United States; Tran, T., Department of Computer Science, University of Kentucky, Lexington, KY, United States; Rios, A., Department of Computer Science, University of Kentucky, Lexington, KY, United States; Kavuluru, R., Department of Computer Science, University of Kentucky, Lexington, KY, United States, Division of Biomedical Informatics, Department of Internal Medicine, University of Kentucky, Lexington, KY, United States; De Bruijn, B., Digital Technologies Research Centre, National Research Council Canada, Ottawa, Canada; Ginter, F., Turku NLP Group, Department of Future Technologies, University of Turku, Turku, Finland; Mahata, D., Bloomberg, New York, NY, United States; Mohammad, S.M., Digital Technologies Research Centre, National Research Council Canada, Ottawa, Canada; Nenadic, G., School of Computer Science, University of Manchester, Manchester, United Kingdom; Gonzalez-Hernandez, G., Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania, 423 Guardian Drive 421A, Philadelphia, PA  19104, United States","Objective We executed the Social Media Mining for Health (SMM4H) 2017 shared tasks to enable the community-driven development and large-scale evaluation of automatic text processing methods for the classification and normalization of health-related text from social media. An additional objective was to publicly release manually annotated data. Materials and Methods We organized 3 independent subtasks: Automatic classification of self-reports of 1) adverse drug reactions (ADRs) and 2) medication consumption, from medication-mentioning tweets, and 3) normalization of ADR expressions. Training data consisted of 15 717 annotated tweets for (1), 10 260 for (2), and 6650 ADR phrases and identifiers for (3); and exhibited typical properties of social-media-based health-related texts. Systems were evaluated using 9961, 7513, and 2500 instances for the 3 subtasks, respectively. We evaluated performances of classes of methods and ensembles of system combinations following the shared tasks. Results Among 55 system runs, the best system scores for the 3 subtasks were 0.435 (ADR class F 1-score) for subtask-1, 0.693 (micro-Averaged F 1-score over two classes) for subtask-2, and 88.5% (accuracy) for subtask-3. Ensembles of system combinations obtained best scores of 0.476, 0.702, and 88.7%, outperforming individual systems. Discussion Among individual systems, support vector machines and convolutional neural networks showed high performance. Performance gains achieved by ensembles of system combinations suggest that such strategies may be suitable for operational systems relying on difficult text classification tasks (eg, subtask-1). Conclusions Data imbalance and lack of context remain challenges for natural language processing of social media text. Annotated data from the shared task have been made available as reference standards for future studies (http://dx.doi.org/10.17632/rxwfb3tysd.1). © © The Author(s) 2018. Published by Oxford University Press on behalf of the American Medical Informatics Association.","machine learning; natural language processing; pharmacovigilance; social media; text mining","Oxford University Press"
"Zhang Y., Yu J., Liu W., Ota K.","Ensemble Classification for Skewed Data Streams Based on Neural Network",2018,"26","5",,"839","853",,"10.1142/S021848851850037X","School of Computer and Information Technology, Liaoning Normal University, Dalian, 116081, China; State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, 050-8585, Japan","Zhang, Y., School of Computer and Information Technology, Liaoning Normal University, Dalian, 116081, China, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Yu, J., School of Computer and Information Technology, Liaoning Normal University, Dalian, 116081, China; Liu, W., School of Computer and Information Technology, Liaoning Normal University, Dalian, 116081, China; Ota, K., Department of Information and Electronic Engineering, Muroran Institute of Technology, Hokkaido, 050-8585, Japan","Data stream learning in non-stationary environments and skewed class distributions has been receiving more attention in machine learning communities. This paper proposes a novel ensemble classification method (ECSDS) for classifying data streams with skewed class distributions. In the proposed ensemble method, back-propagation neural network is selected as the base classifier. In order to demonstrate the effectiveness of our proposed method, we choose three baseline methods based on ECSDS and evaluate their overall performance on ten datasets from UCI machine learning repository. Moreover, the performance of incremental learning is also evaluated by these datasets. The experimental results show our proposed method can effectively deal with classification problems on non-stationary data streams with class imbalance. © 2018 World Scientific Publishing Company.","concept drift; data streams; ensemble learning; neural network; skewed distribution","World Scientific"
"Eun H., Kim D., Jung C., Kim C.","Single-view 2D CNNs with fully automatic non-nodule categorization for false positive reduction in pulmonary nodule detection",2018,"165",,,"215","224",,"10.1016/j.cmpb.2018.08.012","School of Electrical Engineering, Korea Advanced Institute of Science and Technology, South Korea; Department of Electrical Engineering, Hanbat National University, United States","Eun, H., School of Electrical Engineering, Korea Advanced Institute of Science and Technology, South Korea; Kim, D., School of Electrical Engineering, Korea Advanced Institute of Science and Technology, South Korea; Jung, C., Department of Electrical Engineering, Hanbat National University, United States; Kim, C., School of Electrical Engineering, Korea Advanced Institute of Science and Technology, South Korea","Background and Objective: In pulmonary nodule detection, the first stage, candidate detection, aims to detect suspicious pulmonary nodules. However, detected candidates include many false positives and thus in the following stage, false positive reduction, such false positives are reliably reduced. Note that this task is challenging due to 1) the imbalance between the numbers of nodules and non-nodules and 2) the intra-class diversity of non-nodules. Although techniques using 3D convolutional neural networks (CNNs) have shown promising performance, they suffer from high computational complexity which hinders constructing deep networks. To efficiently address these problems, we propose a novel framework using the ensemble of 2D CNNs using single views, which outperforms existing 3D CNN-based methods. Methods: Our ensemble of 2D CNNs utilizes single-view 2D patches to improve both computational and memory efficiency compared to previous techniques exploiting 3D CNNs. We first categorize non-nodules on the basis of features encoded by an autoencoder. Then, all 2D CNNs are trained by using the same nodule samples, but with different types of non-nodules. By extending the learning capability, this training scheme resolves difficulties of extracting representative features from non-nodules with large appearance variations. Note that, instead of manual categorization requiring the heavy workload of radiologists, we propose to automatically categorize non-nodules based on the autoencoder and k-means clustering. Results: We performed extensive experiments to validate the effectiveness of our framework based on the database of the lung nodule analysis 2016 challenge. The superiority of our framework is demonstrated through comparing the performance of five frameworks trained with differently constructed training sets. Our proposed framework achieved state-of-the-art performance (0.922 of the competition performance metric score) with low computational demands (789K of parameters and 1024M of floating point operations per second). Conclusion: We presented a novel false positive reduction framework, the ensemble of single-view 2D CNNs with fully automatic non-nodule categorization, for pulmonary nodule detection. Unlike previous 3D CNN-based frameworks, we utilized 2D CNNs using 2D single views to improve computational efficiency. Also, our training scheme using categorized non-nodules, extends the learning capability of representative features of different non-nodules. Our framework achieved state-of-the-art performance with low computational complexity. © 2018 Elsevier B.V.","Automatic non-nodule categorization; Computer-aided detection; Deep learning; False positive reduction; Pulmonary nodule detection","Elsevier Ireland Ltd"
"Sharma A., Rani R.","BE-DTI’: Ensemble framework for drug target interaction prediction using dimensionality reduction and active learning",2018,"165",,,"151","162",,"10.1016/j.cmpb.2018.08.011","Computer Science and Engineering Department, Thapar Institute of Engineering & Technology, Punjab, Patiala, India","Sharma, A., Computer Science and Engineering Department, Thapar Institute of Engineering & Technology, Punjab, Patiala, India; Rani, R., Computer Science and Engineering Department, Thapar Institute of Engineering & Technology, Punjab, Patiala, India","Background and objective: Drug-target interaction prediction plays an intrinsic role in the drug discovery process. Prediction of novel drugs and targets helps in identifying optimal drug therapies for various stringent diseases. Computational prediction of drug-target interactions can help to identify potential drug-target pairs and speed-up the process of drug repositioning. In our present, work we have focused on machine learning algorithms for predicting drug-target interactions from the pool of existing drug-target data. The key idea is to train the classifier using existing DTI so as to predict new or unknown DTI. However, there are various challenges such as class imbalance and high dimensional nature of data that need to be addressed before developing optimal drug-target interaction model. Methods: In this paper, we propose a bagging based ensemble framework named BE-DTI’ for drug-target interaction prediction using dimensionality reduction and active learning to deal with class-imbalanced data. Active learning helps to improve under-sampling bagging based ensembles. Dimensionality reduction is used to deal with high dimensional data. Results: Results show that the proposed technique outperforms the other five competing methods in 10-fold cross-validation experiments in terms of AUC=0.927, Sensitivity=0.886, Specificity=0.864, and G-mean=0.874. Conclusion: Missing interactions and new interactions are predicted using the proposed framework. Some of the known interactions are removed from the original dataset and their interactions are recalculated to check the accuracy of the proposed framework. Moreover, validation of the proposed approach is performed using the external dataset. All these results show that structurally similar drugs tend to interact with similar targets. © 2018 Elsevier B.V.","Active learning; Bagging; Dimensionality reduction; Drug-Target interaction prediction; Ensemble learning; Gene expression","Elsevier Ireland Ltd"
"Huang Q., Sun J., Ding H., Wang X., Wang G.","Robust liver vessel extraction using 3D U-Net with variant dice loss function",2018,"101",,,"153","162",,"10.1016/j.compbiomed.2018.08.018","Department of Biomedical Engineering, School of Medicine, Tsinghua University, Room C249, Beijing, 100084, China; Department of Interventional Radiology, Peking University Cancer Hospital & Institute, Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education), Beijing, 100142, China","Huang, Q., Department of Biomedical Engineering, School of Medicine, Tsinghua University, Room C249, Beijing, 100084, China; Sun, J., Department of Biomedical Engineering, School of Medicine, Tsinghua University, Room C249, Beijing, 100084, China; Ding, H., Department of Biomedical Engineering, School of Medicine, Tsinghua University, Room C249, Beijing, 100084, China; Wang, X., Department of Interventional Radiology, Peking University Cancer Hospital & Institute, Key Laboratory of Carcinogenesis and Translational Research (Ministry of Education), Beijing, 100142, China; Wang, G., Department of Biomedical Engineering, School of Medicine, Tsinghua University, Room C249, Beijing, 100084, China","Purpose: Liver vessel extraction from CT images is essential in liver surgical planning. Liver vessel segmentation is difficult due to the complex vessel structures, and even expert manual annotations contain unlabeled vessels. This paper presents an automatic liver vessel extraction method using deep convolutional network and studies the impact of incomplete data annotation on segmentation accuracy evaluation. Methods: We select the 3D U-Net and use data augmentation for accurate liver vessel extraction with few training samples and incomplete labeling. To deal with high imbalance between foreground (liver vessel) and background (liver) classes but also increase segmentation accuracy, a loss function based on a variant of the dice coefficient is proposed to increase the penalties for misclassified voxels. We include unlabeled liver vessels extracted by our method in the expert manual annotations, with a specialist's visual inspection for refinement, and compare the evaluations before and after the procedure. Results: Experiments were performed on the public datasets Sliver07 and 3Dircadb as well as local clinical datasets. The average dice and sensitivity for the 3Dircadb dataset were 67.5% and 74.3%, respectively, prior to annotation refinement, as compared with 75.3% and 76.7% after refinement. Conclusions: The proposed method is automatic, accurate and robust for liver vessel extraction with high noise and varied vessel structures. It can be used for liver surgery planning and rough annotation of new datasets. The evaluation difference based on some benchmarks, and their refined results, showed that the quality of annotation should be further considered for supervised learning methods. © 2018 Elsevier Ltd","3D U-Net; Annotation quality; Liver vessel extraction; Refined manual expert annotations; Variant dice loss function","Elsevier Ltd"
"Buda M., Maki A., Mazurowski M.A.","A systematic study of the class imbalance problem in convolutional neural networks",2018,"106",,,"249","259",,"10.1016/j.neunet.2018.07.011","Department of Radiology, Duke University School of Medicine, Durham, NC, United States; School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Electrical and Computer Engineering, Duke University, Durham, NC, United States","Buda, M., Department of Radiology, Duke University School of Medicine, Durham, NC, United States, School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Maki, A., School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; Mazurowski, M.A., Department of Radiology, Duke University School of Medicine, Durham, NC, United States, Department of Electrical and Computer Engineering, Duke University, Durham, NC, United States","In this study, we systematically investigate the impact of class imbalance on classification performance of convolutional neural networks (CNNs) and compare frequently used methods to address the issue. Class imbalance is a common problem that has been comprehensively studied in classical machine learning, yet very limited systematic research is available in the context of deep learning. In our study, we use three benchmark datasets of increasing complexity, MNIST, CIFAR-10 and ImageNet, to investigate the effects of imbalance on classification and perform an extensive comparison of several methods to address the issue: oversampling, undersampling, two-phase training, and thresholding that compensates for prior class probabilities. Our main evaluation metric is area under the receiver operating characteristic curve (ROC AUC) adjusted to multi-class tasks since overall accuracy metric is associated with notable difficulties in the context of imbalanced data. Based on results from our experiments we conclude that (i) the effect of class imbalance on classification performance is detrimental; (ii) the method of addressing class imbalance that emerged as dominant in almost all analyzed scenarios was oversampling; (iii) oversampling should be applied to the level that completely eliminates the imbalance, whereas the optimal undersampling ratio depends on the extent of imbalance; (iv) as opposed to some classical machine learning models, oversampling does not cause overfitting of CNNs; (v) thresholding should be applied to compensate for prior class probabilities when overall number of properly classified cases is of interest. © 2018 Elsevier Ltd","Class imbalance; Convolutional neural networks; Deep learning; Image classification","Elsevier Ltd"
"Richhariya B., Tanveer M.","A robust fuzzy least squares twin support vector machine for class imbalance learning",2018,"71",,,"418","432",,"10.1016/j.asoc.2018.07.003","Discipline of Mathematics, Indian Institute of Technology Indore, Simrol, Indore, 453552, India","Richhariya, B., Discipline of Mathematics, Indian Institute of Technology Indore, Simrol, Indore, 453552, India; Tanveer, M., Discipline of Mathematics, Indian Institute of Technology Indore, Simrol, Indore, 453552, India","Twin support vector machine is one of the most prominent techniques for classification problems. It has been applied in various real world applications due to its less computational complexity. In most of the applications on classification, there is imbalance in the number of samples of the classes which leads to incorrect classification of the data points of the minority class. Further, while dealing with imbalanced data, noise poses a major challenge in various applications. To resolve these problems, in this paper we propose a robust fuzzy least squares twin support vector machine for class imbalance learning termed as RFLSTSVM-CIL using 2-norm of the slack variables which makes the optimization problem strongly convex. In order to reduce the effect of outliers, we propose a novel fuzzy membership function specifically for class imbalance problems. Our proposed function gives the appropriate weights to the datasets and also incorporates the knowledge about the imbalance ratio of the data. In our proposed model, a pair of system of linear equations is solved instead of solving a quadratic programming problem (QPP) which makes our model efficient in terms of computation complexity. To check the performance of our proposed approach, several numerical experiments are performed on synthetic and real world benchmark datasets. Our proposed model RFLSTSVM-CIL has shown better generalization performance in comparison to the existing methods in terms of AUC and training time. © 2018 Elsevier B.V.","Class imbalance; Fuzzy membership; Imbalance ratio; Least squares twin support vector machine; Outliers","Elsevier Ltd"
